id,小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
1,清芷园,西城,2000,97561元/平米,4室2厅1厨2卫,高楼层 (共19层),205㎡,平层,166.48㎡,板塔结合,南 北,钢混结构,精装,两梯七户,集中供暖,有,70年,2019-05-31,商品房,2015-07-16,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片
2,东亚瑞晶苑,通州,230,37061元/平米,1室1厅1厨1卫,中楼层 (共18层),62.06㎡,平层,50.14㎡,板塔结合,南,钢混结构,其他,两梯四户,集中供暖,有,70年,2019-06-01,限价商品房,2013-04-28,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
3,建邦华庭西区,房山,489,44556元/平米,3室1厅1厨1卫,中楼层 (共8层),109.75㎡,平层,91.09㎡,板楼,南 北,钢混结构,其他,一梯两户,集中供暖,有,70年,2019-11-16,商品房,2015-06-15,普通住宅,满两年,非共有,"
                                有抵押 100万元 农行
                              ",已上传房本照片
4,太平桥西里,丰台,399,63414元/平米,2室1厅1厨1卫,低楼层 (共18层),62.92㎡,平层,暂无数据,塔楼,南,钢混结构,简装,两梯八户,集中供暖,有,70年,2019-11-24,已购公房,2019-05-06,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片
5,国瑞城中区,东城,575,98073元/平米,1室1厅1厨1卫,低楼层 (共16层),58.63㎡,平层,46.62㎡,板塔结合,南,钢混结构,简装,两梯六户,集中供暖,有,70年,2018-08-03,商品房,2016-03-02,普通住宅,满两年,非共有,"
                                有抵押 150万元 客户偿还
                              ",已上传房本照片
6,长丰园二区,大兴,215,51572元/平米,2室1厅1厨1卫,顶层 (共7层),41.69㎡,平层,36.64㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,2019-04-24,商品房,2017-06-09,普通住宅,满两年,非共有,"
                                有抵押 80万元 农行 业主自还
                              ",已上传房本照片
7,明光北里,海淀,545,84615元/平米,2室1厅1厨1卫,中楼层 (共18层),64.41㎡,平层,暂无数据,塔楼,东南,钢混结构,精装,两梯八户,集中供暖,有,70年,2019-11-08,商品房,2015-09-07,普通住宅,满两年,非共有,"
                                有抵押 272万元
                              ",已上传房本照片
8,华远和墅,大兴,1400,47341元/平米,5室2厅1厨3卫,底层 (共2层),295.73㎡,复式,279.42㎡,板楼,南 北,钢混结构,毛坯,一梯两户,集中供暖,暂无数据,70年,2019-10-16,商品房,2017-09-19,普通住宅,满两年,非共有,"
                                有抵押 800万元 工商银行 客户偿还
                              ",已上传房本照片
9,滨河路3号,门头沟,225,32088元/平米,2室1厅1厨1卫,中楼层 (共6层),70.12㎡,平层,暂无数据,板楼,东 西,混合结构,其他,一梯两户,集中供暖,无,70年,2019-07-29,商品房,2013-10-29,普通住宅,满五年,共有,"
                                暂无数据
                              ",已上传房本照片
10,惠民家园,门头沟,265,39000元/平米,2室1厅1厨1卫,中楼层 (共9层),67.95㎡,平层,56.49㎡,板楼,南,钢混结构,精装,一梯四户,集中供暖,有,70年,2019-02-17,二类经济适用房,2011-03-24,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
